user_id,item_id,timestamp,interaction_type
U027,I017,2024-01-02 05:15:41,view
U028,I008,2024-01-02 05:33:12,complete
U029,I019,2024-01-02 05:45:03,view
U030,I006,2024-01-02 06:03:55,view
U031,I003,2024-01-02 06:15:20,start
U032,I014,2024-01-02 06:30:12,start
U033,I011,2024-01-02 06:45:09,view
U034,I020,2024-01-02 07:02:02,start
U035,I024,2024-01-02 07:15:40,view
U036,I025,2024-01-02 07:30:05,view
U037,I030,2024-01-02 07:45:16,complete
U038,I018,2024-01-02 08:01:32,view
U039,I022,2024-01-02 08:14:59,start
U040,I015,2024-01-02 08:28:44,view
U041,I003,2024-01-02 08:45:21,start
U042,I009,2024-01-02 08:58:52,view
U043,I016,2024-01-02 09:14:33,start
U044,I017,2024-01-02 09:30:12,complete
U045,I010,2024-01-02 09:44:21,view
U046,I012,2024-01-02 10:01:30,start
U047,I027,2024-01-02 10:14:52,view
U048,I019,2024-01-02 10:31:29,view
U049,I014,2024-01-02 10:45:11,start
U050,I006,2024-01-02 11:00:20,view
U001,I003,2024-01-02 11:15:44,view
U002,I011,2024-01-02 11:28:55,start
U003,I030,2024-01-02 11:44:20,view
U004,I007,2024-01-02 12:02:12,view
U005,I022,2024-01-02 12:15:05,start
U006,I017,2024-01-02 12:30:29,view
U007,I016,2024-01-02 12:44:31,complete
U008,I015,2024-01-02 12:59:41,view
U009,I004,2024-01-02 13:12:33,view
U010,I002,2024-01-02 13:30:29,start
U011,I009,2024-01-02 13:45:11,view
U012,I023,2024-01-02 13:58:52,start
U013,I027,2024-01-02 14:12:40,view
U014,I014,2024-01-02 14:30:20,start
U015,I021,2024-01-02 14:45:11,view
U016,I005,2024-01-02 14:58:10,view
U017,I018,2024-01-02 15:15:55,start
U018,I013,2024-01-02 15:33:11,view
U019,I020,2024-01-02 15:45:55,complete
U020,I007,2024-01-02 16:01:22,view
U021,I010,2024-01-02 16:15:48,start
U022,I003,2024-01-02 16:32:09,view
U023,I008,2024-01-02 16:44:01,complete
U024,I019,2024-01-02 17:01:33,view
U025,I025,2024-01-02 17:15:40,start
U026,I012,2024-01-02 17:32:20,view
U027,I006,2024-01-02 17:49:41,complete
U028,I004,2024-01-02 18:05:22,view
U029,I018,2024-01-02 18:22:12,start
U030,I030,2024-01-02 18:35:55,view
U031,I017,2024-01-02 18:48:41,start
U032,I027,2024-01-02 19:03:30,complete
U033,I002,2024-01-02 19:18:14,view
U034,I007,2024-01-02 19:33:03,start
U035,I029,2024-01-02 19:49:59,view
U036,I022,2024-01-02 20:02:10,complete
U037,I015,2024-01-02 20:18:55,view
U038,I019,2024-01-02 20:33:21,start
U039,I010,2024-01-02 20:49:44,view
U040,I014,2024-01-02 21:02:32,start
U041,I006,2024-01-02 21:16:22,view
U042,I018,2024-01-02 21:32:11,view
U043,I012,2024-01-02 21:48:33,start
U044,I025,2024-01-02 22:02:41,view
U045,I016,2024-01-02 22:18:14,start
U046,I005,2024-01-02 22:33:55,view
U047,I013,2024-01-02 22:49:41,complete
U048,I027,2024-01-02 23:02:15,start
U049,I007,2024-01-02 23:15:22,view
U050,I003,2024-01-02 23:30:11,start
